GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sampletest,org.jacoco.cli.internal.core.data,SessionInfoStore,88,0,6,0,19,0,9,0,6,0
sampletest,org.jacoco.cli.internal.core.data,IncompatibleExecDataVersionException,25,0,0,0,5,0,3,0,3,0
sampletest,org.jacoco.cli.internal.core.data,ExecutionDataStore,166,0,12,0,36,0,17,0,11,0
sampletest,org.jacoco.cli.internal.core.data,ExecutionDataReader,168,0,20,0,47,0,19,0,8,0
sampletest,org.jacoco.cli.internal.core.data,SessionInfo,57,0,6,0,16,0,9,0,6,0
sampletest,org.jacoco.cli.internal.core.data,ExecutionDataWriter,107,0,2,0,35,0,8,0,7,0
sampletest,org.jacoco.cli.internal.core.data,ExecutionData,188,0,14,0,35,0,18,0,11,0
sampletest,org.jacoco.cli.internal.report.internal.html,HTMLElement,254,0,2,0,74,0,30,0,29,0
sampletest,org.jacoco.cli.internal.report.internal.html,HTMLGroupVisitor,69,0,0,0,15,0,5,0,5,0
sampletest,org.jacoco.cli.internal.report.internal.html.page,PackageSourcePage,125,0,6,0,30,0,11,0,8,0
sampletest,org.jacoco.cli.internal.report.internal.html.page,SessionsPage,225,0,10,0,50,0,12,0,7,0
sampletest,org.jacoco.cli.internal.report.internal.html.page,PackagePage,111,0,10,0,26,0,12,0,7,0
sampletest,org.jacoco.cli.internal.report.internal.html.page,SessionsPage.new Comparator() {...},21,0,0,0,2,0,2,0,2,0
sampletest,org.jacoco.cli.internal.report.internal.html.page,GroupPage,11,0,0,0,4,0,3,0,3,0
sampletest,org.jacoco.cli.internal.report.internal.html.page,SourceFileItem,17,0,0,0,7,0,5,0,5,0
sampletest,org.jacoco.cli.internal.report.internal.html.page,TablePage,49,0,0,0,11,0,4,0,4,0
sampletest,org.jacoco.cli.internal.report.internal.html.page,SourceHighlighter,164,0,10,0,36,0,13,0,6,0
sampletest,org.jacoco.cli.internal.report.internal.html.page,SourceFilePage,80,0,0,0,14,0,5,0,5,0
sampletest,org.jacoco.cli.internal.report.internal.html.page,ReportPage,194,0,4,0,46,0,13,0,11,0
sampletest,org.jacoco.cli.internal.report.internal.html.page,NodePage,26,0,2,0,8,0,5,0,4,0
sampletest,org.jacoco.cli.internal.report.internal.html.page,ClassPage,183,0,14,0,30,0,13,0,6,0
sampletest,org.jacoco.cli.internal.report.internal.html.page,BundlePage,99,0,10,0,26,0,11,0,6,0
sampletest,org.jacoco.cli.internal.report.internal.html.page,MethodItem,50,0,4,0,13,0,7,0,5,0
sampletest,org.jacoco.cli.internal.report.internal.html.index,ElementIndex,29,0,0,0,7,0,3,0,3,0
sampletest,org.jacoco.agent.rt.internal_f3994fa.core.data,ExecutionDataReader,168,0,20,0,47,0,19,0,8,0
sampletest,org.jacoco.agent.rt.internal_f3994fa.core.data,ExecutionData,188,0,14,0,35,0,18,0,11,0
sampletest,org.jacoco.agent.rt.internal_f3994fa.core.data,ExecutionDataWriter,107,0,2,0,35,0,8,0,7,0
sampletest,org.jacoco.agent.rt.internal_f3994fa.core.data,SessionInfo,57,0,6,0,16,0,9,0,6,0
sampletest,org.jacoco.agent.rt.internal_f3994fa.core.data,ExecutionDataStore,166,0,12,0,36,0,17,0,11,0
sampletest,org.jacoco.agent.rt.internal_f3994fa.core.data,IncompatibleExecDataVersionException,25,0,0,0,5,0,3,0,3,0
sampletest,org.jacoco.agent.rt.internal_f3994fa.core,JaCoCo,16,0,0,0,5,0,1,0,1,0
sampletest,org.jacoco.cli.internal.asm.commons,AnalyzerAdapter,1495,0,207,0,422,0,162,0,28,0
sampletest,org.jacoco.cli.internal.asm.commons,JSRInlinerAdapter,610,0,76,0,138,0,47,0,9,0
sampletest,org.jacoco.cli.internal.asm.commons,JSRInlinerAdapter.Instantiation,163,0,22,0,38,0,19,0,8,0
sampletest,org.jacoco.agent.rt.internal_f3994fa.core.internal.data,CompactDataInput,61,0,8,0,14,0,7,0,3,0
sampletest,org.jacoco.agent.rt.internal_f3994fa.core.internal.data,CompactDataOutput,74,0,10,0,20,0,8,0,3,0
sampletest,org.jacoco.agent.rt.internal_f3994fa.core.internal.data,CRC64,109,0,14,0,19,0,11,0,4,0
sampletest,org.jacoco.agent.rt.internal_f3994fa.core.internal.analysis,CounterImpl.new Object() {...},40,0,0,0,1,0,1,0,1,0
sampletest,org.jacoco.agent.rt.internal_f3994fa.core.internal.analysis,CounterImpl.Fix,15,0,0,0,3,0,2,0,2,0
sampletest,org.jacoco.agent.rt.internal_f3994fa.core.internal.analysis,Instruction,153,0,16,0,41,0,17,0,9,0
sampletest,org.jacoco.agent.rt.internal_f3994fa.core.internal.analysis,CounterImpl.Var,19,0,0,0,5,0,2,0,2,0
sampletest,org.jacoco.agent.rt.internal_f3994fa.core.internal.analysis,CounterImpl,223,0,24,0,43,0,29,0,15,0
sampletest,org.jacoco.cli.internal.args4j,ClassParser,105,0,14,0,17,0,9,0,2,0
sampletest,org.jacoco.cli.internal.args4j,OptionDef,77,0,6,0,20,0,14,0,11,0
sampletest,org.jacoco.cli.internal.args4j,IllegalAnnotationError,13,0,0,0,6,0,3,0,3,0
sampletest,org.jacoco.cli.internal.args4j,OptionHandlerFilter,13,0,0,0,3,0,1,0,1,0
sampletest,org.jacoco.cli.internal.args4j,OptionHandlerFilter.new OptionHandlerFilter() {...},7,0,0,0,2,0,2,0,2,0
sampletest,org.jacoco.cli.internal.args4j,OptionHandlerFilter.new OptionHandlerFilter() {...},11,0,2,0,2,0,3,0,2,0
sampletest,org.jacoco.cli.internal.args4j,OptionHandlerFilter.new OptionHandlerFilter() {...},5,0,0,0,2,0,2,0,2,0
sampletest,org.jacoco.cli.internal.args4j,CmdLineParser.CmdLineImpl,113,0,12,0,17,0,13,0,7,0
sampletest,org.jacoco.cli.internal.args4j,CmdLineException,38,0,0,0,16,0,7,0,7,0
